subj,exp_id,ses_id,stim,timestamp,x,y,duration,sacc_amplitude,sacc_dur
P05,1,1,tsa03,0.279257,546.764488,657.242561,0.919966,523.279219,0.065643
P05,1,1,tsa03,1.264866,855.142971,1080.000000,0.459999,775.506633,0.082196
P05,1,1,tsa03,1.807061,319.182000,519.503456,0.525705,525.232478,0.049282
P05,1,1,tsa03,2.382048,658.710982,118.767600,0.180676,692.206011,0.065751
P05,1,1,tsa03,2.628475,1349.975200,82.671300,0.394290,500.462530,0.082113
P05,1,1,tsa03,3.104878,849.598629,91.946571,0.115164,387.505842,0.032800
P05,1,1,tsa03,3.252842,468.873290,164.119935,0.509317,954.061548,0.082050
P05,1,1,tsa03,3.844209,1333.426844,567.580700,0.887165,700.467102,0.065580
P05,1,1,tsa03,4.796954,633.342720,590.740560,0.377972,623.466096,0.065595
P05,1,1,tsa03,5.240521,1250.095360,499.492800,0.246466,0.000000,0.065595
P05,1,1,tsq01,0.032922,276.713600,362.977200,0.197054,399.318044,0.049274
P05,1,1,tsq01,0.279250,628.249886,173.564582,1.199354,712.771856,0.065594
P05,1,1,tsq01,1.544198,1338.894545,118.538345,0.180710,606.929038,0.082329
P05,1,1,tsq01,1.807237,859.651200,490.947627,0.361241,455.245737,0.065698
P05,1,1,tsq01,2.234176,1303.354852,389.086200,0.377960,476.202054,0.049166
P05,1,1,tsq01,2.661302,830.100000,336.187800,0.131403,506.113239,0.065758
P05,1,1,tsq01,2.858463,694.057477,823.674254,0.427134,244.669498,0.049235
P05,1,1,tsq01,3.334832,739.867692,583.331608,1.495034,555.898303,0.049260
P05,1,1,tsq01,4.879126,1244.692267,816.087000,0.148027,474.884043,0.049140
P05,1,1,tsq01,5.076293,770.224674,835.970589,0.312170,457.699234,0.049306
P05,1,1,tsq01,5.437769,1210.223700,709.917244,0.525709,628.838301,0.065652
P05,1,1,tsq01,6.029130,635.341714,964.766829,0.345240,228.026051,0.032688
P05,1,1,tsq01,6.407058,849.363097,886.085652,1.264978,522.645939,0.049286
P05,1,1,tsq01,7.721322,914.754171,367.546564,0.459983,364.952163,0.065650
P05,1,1,tsq01,8.246955,1274.860444,426.821800,0.887114,329.883806,0.246553
P05,1,1,tsq01,9.380622,1122.205714,134.384014,0.229936,426.405172,0.065641
P05,1,1,tsq01,9.676199,725.519754,290.786123,0.920021,744.139167,0.082152
P05,1,1,tsq01,10.678372,1432.663829,522.497918,1.905651,616.329597,0.032808
P05,1,1,tsq01,12.616831,965.117943,924.073586,0.690012,797.034008,0.065824
P05,1,1,tsq01,13.372667,1111.551127,140.606591,1.084227,237.607780,0.049481
P05,1,1,tsq01,14.506375,876.229200,107.727300,0.131316,291.585705,0.032730
P05,1,1,tsq01,14.670421,588.799318,156.781210,1.462116,279.755172,0.032965
P05,1,1,tsq01,16.165502,867.826258,136.608867,2.398388,571.953014,0.065748
P05,1,1,tsq01,18.629638,939.674119,704.031227,2.020706,379.049552,0.049255
P05,1,1,tsq01,20.699599,987.903200,1080.000000,0.197139,522.336048,0.049453
P05,1,1,tsq01,20.946191,1266.922358,638.430916,0.624012,0.000000,0.049453
P05,1,1,tsq02,0.049375,731.463217,199.696826,0.772138,92.794301,0.032801
P05,1,1,tsq02,0.854314,776.824436,118.745345,0.788563,601.404803,0.049427
P05,1,1,tsq02,1.692304,1378.142400,108.525600,0.492795,262.888334,0.065809
P05,1,1,tsq02,2.250908,1280.034880,352.421460,0.492734,265.484941,0.032957
P05,1,1,tsq02,2.776599,1145.028622,123.826700,0.887009,663.694013,0.082089
P05,1,1,tsq02,3.745697,532.002720,378.166995,0.870712,414.896230,0.049222
P05,1,1,tsq02,4.665631,946.492320,396.531450,0.328712,362.175467,0.049180
P05,1,1,tsq02,5.043523,1259.697513,214.670029,0.903644,583.022531,0.049238
P05,1,1,tsq02,5.996405,682.173382,134.787927,1.084261,386.263103,0.016444
