subj,exp_id,ses_id,stim,timestamp,K
P05,1,1,tsq01,6.029130,0.703687
P05,1,1,tsq01,6.407058,-0.325619
P05,1,1,tsq01,7.721322,0.441723
P05,1,1,tsq01,8.246955,0.495281
P05,1,1,tsq01,9.380622,-0.322524
P05,1,1,tsq01,9.676199,-0.475270
P05,1,1,tsq01,10.678372,0.940112
P05,1,1,tsq01,12.616831,-2.987398
P05,1,1,tsq01,13.372667,1.910714
P05,1,1,tsq01,14.506375,0.203219
P05,1,1,tsq01,14.670421,2.359390
P05,1,1,tsq01,16.165502,1.128692
P05,1,1,tsq01,18.629638,1.797796
P05,1,1,tsq01,20.699599,-1.662755
P05,1,1,tsq01,20.946191,-1.662755
P05,1,1,tsq02,0.049375,2.064572
P05,1,1,tsq02,0.854314,0.428210
P05,1,1,tsq02,1.692304,-0.115198
P05,1,1,tsq02,2.250908,-0.053879
P05,1,1,tsq02,2.776599,0.202312
P05,1,1,tsq02,3.745697,1.444262
P05,1,1,tsq02,4.665631,-0.766230
P05,1,1,tsq02,5.043523,0.895924
P05,1,1,tsq02,5.996405,2.368417
P05,1,1,tsq02,7.097110,-0.181203
P05,1,1,tsq02,7.507830,-4.171672
P05,1,1,tsq02,7.770663,-1.727713
P05,1,1,tsq02,8.279878,-1.727713
P05,1,1,tsq03,0.049258,2.633316
P05,1,1,tsq03,0.870699,0.040959
P05,1,1,tsq03,1.034971,0.007284
P05,1,1,tsq03,1.264913,-0.021574
P05,1,1,tsq03,1.478662,0.111179
P05,1,1,tsq03,1.675699,0.391006
P05,1,1,tsq03,2.152097,-2.305063
P05,1,1,tsq03,2.874998,1.020421
P05,1,1,tsq03,3.400627,-0.555168
P05,1,1,tsq03,3.647039,3.665281
P05,1,1,tsq03,4.928559,-1.729258
P05,1,1,tsq03,5.437748,-2.726630
P05,1,1,tsq03,5.519996,-2.726630
P06,1,1,tsa01,0.032930,-1.547893
P06,1,1,tsa01,0.312201,2.787086
P06,1,1,tsa01,1.856401,0.134353
P06,1,1,tsa01,2.694293,-0.187349
P06,1,1,tsa01,4.452083,-0.086920
P06,1,1,tsa01,5.092864,-0.086920
P06,1,1,tsa02,0.049342,0.895895
P06,1,1,tsa02,0.345064,-0.003093
P06,1,1,tsa02,0.788589,-1.148243
P06,1,1,tsa02,1.002314,0.896874
P06,1,1,tsa02,1.725100,-0.153256
P06,1,1,tsa02,2.168543,2.714291
P06,1,1,tsa02,3.614300,-0.567322
P06,1,1,tsa02,3.893543,4.036894
P06,1,1,tsa02,5.191353,-0.434024
P06,1,1,tsa02,5.782813,-0.217935
P06,1,1,tsa02,6.472780,-0.564549
P06,1,1,tsa02,6.949201,-2.052818
P06,1,1,tsa02,7.343427,1.789108
P06,1,1,tsa02,8.361959,0.954010
P06,1,1,tsa02,10.103500,-1.290209
P06,1,1,tsa02,10.842736,-2.630986
P06,1,1,tsa02,10.924873,-1.735167
P06,1,1,tsa02,11.466895,-1.589781
P06,1,1,tsa02,12.058444,0.116509
P06,1,1,tsa02,12.485790,0.116509
P06,1,1,tsa03,0.049171,0.044801
P06,1,1,tsa03,0.197124,1.023144
P06,1,1,tsa03,0.969091,0.991563
P06,1,1,tsa03,1.593422,-1.299173
P06,1,1,tsa03,2.020600,-0.728523
P06,1,1,tsa03,2.414910,1.114498
P06,1,1,tsa03,2.727043,1.114498
P06,1,1,tsq01,0.049499,-1.789712
P06,1,1,tsq01,0.525686,-3.575740
P06,1,1,tsq01,0.969389,3.685356
P06,1,1,tsq01,2.990013,-0.412579
P06,1,1,tsq01,3.252916,0.555771
P06,1,1,tsq01,3.581360,0.481113
P06,1,1,tsq01,3.877051,2.618602
P06,1,1,tsq01,5.174882,-0.941881
P06,1,1,tsq01,5.618484,-1.151819
P06,1,1,tsq01,5.684159,0.770198
P06,1,1,tsq01,6.062030,-1.012483
P06,1,1,tsq01,6.259145,0.082740
P06,1,1,tsq01,6.522167,-0.118542
P06,1,1,tsq01,7.622738,0.384562
P06,1,1,tsq01,8.296379,0.876231
P06,1,1,tsq01,8.624865,-0.965948
P06,1,1,tsq01,9.298645,-1.086806
P06,1,1,tsq01,9.626980,-0.285890
P06,1,1,tsq01,10.169184,0.410343
P06,1,1,tsq01,10.826219,0.380697
P06,1,1,tsq01,11.319174,-0.371077
P06,1,1,tsq01,11.861244,-0.371077
P06,1,1,tsq02,0.147870,0.976112
P06,1,1,tsq02,0.969262,0.913042
P06,1,1,tsq02,1.232105,0.266252
P06,1,1,tsq02,1.593506,0.517533
P06,1,1,tsq02,3.236287,-0.000696
P06,1,1,tsq02,5.174887,3.317697
P06,1,1,tsq02,10.004722,-0.209253
P06,1,1,tsq02,10.448394,0.080414
P06,1,1,tsq02,11.779115,-0.569105
P06,1,1,tsq02,12.058354,0.857574
P06,1,1,tsq02,13.914700,2.335781
P06,1,1,tsq02,16.789747,0.198258
P06,1,1,tsq02,17.775270,0.136273
P06,1,1,tsq02,19.746782,-2.137775
P06,1,1,tsq02,20.124625,-1.285280
P06,1,1,tsq02,20.584582,0.248433
P06,1,1,tsq02,21.143171,-0.878909
P06,1,1,tsq02,21.734574,-1.978086
P06,1,1,tsq02,22.013788,-1.986124
P06,1,1,tsq02,22.753080,-0.536245
P06,1,1,tsq02,22.983097,-1.282871
P06,1,1,tsq02,23.870232,1.905012
P06,1,1,tsq02,24.264580,1.905012
P06,1,1,tsq03,0.016407,-1.047044
P06,1,1,tsq03,0.295614,2.348191
P06,1,1,tsq03,2.480641,1.090774
P06,1,1,tsq03,2.809161,0.947926
P06,1,1,tsq03,3.367678,-1.097390
P06,1,1,tsq03,4.008381,1.431303
P06,1,1,tsq03,4.977627,1.137491
P06,1,1,tsq03,5.832009,-1.128874
P06,1,1,tsq03,6.308404,0.472109
P06,1,1,tsq03,8.197600,-2.023413
P06,1,1,tsq03,8.657822,-0.116351
