x,y,d,t
0.209225,0.087300,3.795000,118.619951
0.201060,0.057740,3.785000,118.636423
0.206245,0.043530,3.730000,118.652804
0.215710,0.061430,3.705000,118.669363
0.212340,0.047660,3.705000,118.685713
0.235080,0.049705,3.760000,118.702115
0.307575,0.029020,3.715000,118.718652
0.307130,0.027350,3.770000,118.734931
0.330715,0.021680,3.800000,118.751387
0.314280,-0.044450,3.860000,118.767827
0.310550,-0.066740,3.895000,118.784243
0.299865,-0.105720,3.870000,118.800669
0.308765,-0.035340,3.865000,118.817170
0.316455,0.004495,3.865000,118.833568
0.308490,0.084935,3.755000,118.849958
0.314190,0.091865,3.795000,118.866413
0.320330,0.121570,3.835000,118.882949
0.336500,0.107095,3.760000,118.899258
0.467330,0.147125,3.625000,118.915922
0.464785,0.123945,3.800000,118.932127
0.456770,0.103830,3.705000,118.948574
0.453150,0.038120,3.585000,118.964981
0.454095,0.045270,3.845000,118.981513
0.453090,0.063570,3.720000,118.997827
0.496485,0.134825,3.580000,119.014337
0.497000,0.141735,3.545000,119.030773
0.481135,0.092585,3.460000,119.047167
0.440245,0.039340,3.940000,119.063593
0.437020,0.011665,3.605000,119.080072
0.437305,0.057075,3.470000,119.096368
0.425700,0.051535,3.715000,119.112978
0.426725,0.059715,3.810000,119.129289
0.587675,0.021260,3.825000,119.145681
0.557250,-0.008830,3.550000,119.162136
0.556900,-0.017415,3.835000,119.178606
0.597825,0.060235,3.840000,119.195012
0.584035,0.020290,3.725000,119.211486
0.583680,0.011870,3.690000,119.227785
0.569075,-0.014695,3.835000,119.244423
0.608480,-0.032070,3.570000,119.260636
0.608805,-0.033220,3.845000,119.277077
0.578560,0.023980,3.860000,119.293620
0.559675,0.089990,3.630000,119.310011
0.560545,0.112960,3.675000,119.326418
0.657875,0.048285,3.905000,119.342804
0.671185,0.039355,3.800000,119.359228
0.671800,0.015520,3.800000,119.375619
0.671055,0.007400,3.745000,119.392109
0.689300,0.052435,3.560000,119.408494
0.688170,0.082870,3.885000,119.424998
0.699685,0.082350,3.780000,119.441399
0.686590,0.142555,3.720000,119.457823
0.686590,0.142555,3.800000,119.474307
0.653640,0.105690,3.885000,119.490700
0.665860,0.111830,3.765000,119.507148
0.665515,0.125390,3.825000,119.523551
0.667275,0.132840,3.900000,119.540010
0.748850,0.137740,3.920000,119.556561
0.748000,0.147695,3.900000,119.573025
0.769145,0.150685,4.015000,119.589192
0.773960,0.086580,3.975000,119.605838
0.774745,0.079380,3.995000,119.622044
0.764850,0.121030,4.010000,119.638469
0.761630,0.096265,4.040000,119.654986
0.759130,0.125500,4.090000,119.671507
0.570630,0.463010,3.725000,119.687778
0.453960,0.679630,3.755000,119.704243
0.451630,0.667700,3.505000,119.720684
0.369220,0.675815,3.460000,119.737081
0.381280,0.678875,3.490000,119.753495
0.376660,0.663795,3.520000,119.769950
0.375365,0.704105,3.515000,119.786388
0.371440,0.686000,3.560000,119.802788
0.372675,0.689540,3.545000,119.819221
0.390185,0.697225,3.505000,119.835852
0.381365,0.689730,3.670000,119.852055
0.382605,0.693235,3.660000,119.868555
0.390470,0.683340,3.570000,119.884931
0.364955,0.662185,3.580000,119.901329
0.362510,0.654565,3.555000,119.917761
0.390765,0.664900,3.580000,119.934253
0.370350,0.685650,3.655000,119.950751
0.370350,0.685650,3.630000,119.967033
0.372375,0.686255,3.620000,119.983565
0.379760,0.656195,3.735000,120.000115
0.382025,0.663765,3.600000,120.016365
0.381665,0.732705,3.725000,120.032890
0.419745,0.721530,3.720000,120.049190
0.419745,0.721530,3.660000,120.065695
0.391880,0.650345,3.675000,120.082027
0.374525,0.640585,3.720000,120.098461
0.372195,0.632775,3.475000,120.114990
0.372240,0.649070,3.740000,120.131385
0.364305,0.659410,3.725000,120.147806
0.364305,0.659410,3.675000,120.164262
0.386605,0.665745,3.790000,120.180701
0.375470,0.675000,3.845000,120.197060
0.377780,0.682375,3.730000,120.213510
0.383530,0.706735,3.750000,120.229887
0.377445,0.669865,3.810000,120.246409
0.373330,0.655945,3.720000,120.262783
0.367560,0.623340,3.745000,120.279193
0.356635,0.645715,3.870000,120.295660
0.350010,0.625310,3.720000,120.312135
0.413755,0.887550,3.960000,120.328577
0.452530,0.855195,3.835000,120.345042
0.457575,0.872875,3.885000,120.361439
0.430685,0.920220,3.775000,120.377911
0.425490,0.930150,3.815000,120.394203
0.428680,0.938350,3.770000,120.410619
0.454380,0.917070,3.750000,120.427184
0.448135,0.910875,3.755000,120.443497
0.448135,0.910875,3.840000,120.459909
0.447640,0.906690,3.850000,120.476314
0.402555,0.922260,3.850000,120.492760
0.403775,0.924960,3.835000,120.509457
0.417815,0.869785,3.805000,120.525688
0.452580,0.924410,3.850000,120.542115
0.449500,0.915715,3.855000,120.558538
0.446790,0.688675,3.610000,120.574989
0.417455,0.738205,3.690000,120.591384
0.419365,0.744945,3.995000,120.607797
0.435475,0.720665,3.720000,120.624292
0.436060,0.764250,3.755000,120.640791
0.436060,0.764250,3.785000,120.657076
0.438605,0.702690,3.850000,120.673525
0.429700,0.654245,3.925000,120.689993
0.428850,0.650325,3.595000,120.706493
0.413550,0.735225,3.945000,120.722792
0.443525,0.709330,3.935000,120.739206
0.445590,0.718110,3.685000,120.755658
0.444285,0.755975,3.965000,120.772118
0.428545,0.684300,3.905000,120.788528
0.423515,0.662970,3.730000,120.805023
0.416455,0.642740,3.845000,120.821520
0.410265,0.640350,3.820000,120.837795
0.409540,0.639740,3.830000,120.854292
0.421485,0.596585,3.560000,120.870692
0.446140,0.719150,3.595000,120.887160
0.449180,0.731380,3.915000,120.903493
0.417710,0.703875,3.570000,120.919886
0.406825,0.649310,3.615000,120.936394
0.400495,0.625085,3.830000,120.952850
0.399325,0.639305,3.630000,120.969181
0.391345,0.601740,3.600000,120.985674
0.391345,0.601740,3.635000,121.002011
0.417430,0.672805,3.840000,121.018606
0.379030,0.550070,3.880000,121.034953
0.384750,0.572490,3.585000,121.051397
0.408280,0.665700,3.815000,121.067809
0.427175,0.686400,3.870000,121.084307
0.432255,0.707085,3.485000,121.100667
0.400605,0.646685,3.815000,121.117137
0.437160,0.677925,3.825000,121.133532
0.436105,0.673945,3.460000,121.149988
0.406530,0.672770,3.750000,121.166425
0.404520,0.659940,3.715000,121.182755
0.405645,0.663915,3.460000,121.199177
0.426030,0.741000,3.670000,121.216217
0.444620,0.733175,3.780000,121.232029
0.439805,0.713655,3.485000,121.248511
0.377085,0.689675,3.720000,121.264963
0.413065,0.659555,3.810000,121.281322
0.415005,0.667105,3.445000,121.297779
0.419495,0.711620,3.715000,121.314157
0.441240,0.714820,3.850000,121.330668
0.445185,0.731225,3.555000,121.347056
0.407340,0.721325,3.630000,121.363510
0.408935,0.718190,3.610000,121.380038
0.406765,0.710605,3.690000,121.396432
0.399590,0.691535,3.465000,121.412761
0.409925,0.690270,3.450000,121.429243
0.404340,0.669875,3.720000,121.445679
0.421695,0.633890,3.490000,121.462032
0.434045,0.671880,3.485000,121.478533
0.434865,0.675715,3.690000,121.494989
0.418580,0.884750,3.680000,121.511352
